Campaign ID,Parent Campaign ID,Member Type,Member Status,Lead ID,Member First Associated Date,Member Status Update Date,Member First Responded Date,Responded,Title,Company,Account Owner,Street Line 3,Country,State/Province,Campaign Name
70130000000trmy,,Lead,Sent,00Q3000001GkC7z,2/8/16,2/8/16,,0,"Manager, Regional Business System","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC80,2/8/16,2/8/16,,0,"Manager, Financial Systems","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC81,2/8/16,2/8/16,,0,IT Project Manager,"Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC82,2/8/16,2/8/16,,0,SAP BW Technical Lead,"Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC86,2/8/16,2/8/16,,0,"Project Manager II, IT","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC8I,2/8/16,2/8/16,,0,"Program Manager, Supply Chain Compliance","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC8V,2/8/16,2/8/16,,0,Network Support Specialist,Shriners Hospitals for Children,,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC8e,2/8/16,2/8/16,,0,"Vice President, Cisco Solutions Group",Tech Data Corporation,,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC9n,2/8/16,2/8/16,,0,"Manager, Database Services",Brick Warehouse LP,,,Canada,Alberta,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCF6,2/8/16,2/8/16,,0,"Manager, PresTrack",Presbyterian Healthcare Services,,,United States,New Mexico,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCFd,2/8/16,2/8/16,,0,Director of Digital Business Technology,Belk,,,United States,North Carolina,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCGc,2/8/16,2/8/16,,0,"Administrator, Unix and Storage",Husky Energy Inc.,,,Canada,Alberta,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCGf,2/8/16,2/8/16,,0,"Sr. Director, Enterprise Architecture",CBS BROADCASTING INC,,,United States,CA,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCGi,2/8/16,2/8/16,,0,"Manager, Information Systems",BlueCross BlueShield of South Carolina,,,United States,South Carolina,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCHx,2/8/16,2/8/16,,0,SVP of Development,Datastream Systems,,,US,SC,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCJE,2/8/16,2/8/16,,0,Network Engineer,"Sonic Automotive, Inc",,,United States,North Carolina,Modernize Existing Applications with Private PaaS
