Opportunity ID,Account ID,Stage,Billing Country,Billing State/Province,Type,Lead Source,Close Date,Probability (%),Fiscal Period,Age,Created Date
0063000000o46rr,0013000000sDRGN,Closed Lost,United States,CO,License,Google Natural Search,12/25/2020,0,Q4-2020,3361,10/13/2011
0063000000pQKDX,0013000000sDRIO,Closed Lost,United States,CA,License,,9/28/2012,0,Q3-2012,282,12/21/2011
0063000000o6RiP,0013000000sDRIO,Closed Won,United States,CA,License,,1/13/2012,100,Q1-2012,74,10/31/2011
0063000000o3sXb,0013000000sE8U0,Closed Lost,,,License,Web,2/29/2012,0,Q1-2012,140,10/12/2011
0063000000o3seI,0013000000sE8U0,Closed Lost,,,Perpetual License,In House List,3/30/2012,0,Q1-2012,170,10/12/2011
0063000000pQpSq,0013000000sE9pr,Closed Won,United States,NY,License,Existing Account,3/30/2012,100,Q1-2012,93,12/28/2011
0063000000rv4dH,0013000000sE9pr,Closed Won,United States,NY,License,Existing Account,12/31/2012,100,Q4-2012,276,3/30/2012
0063000000o3uBL,0013000000sE9pr,Closed Won,United States,NY,License,Partner,12/28/2011,100,Q4-2011,77,10/12/2011
0063000000o6Omu,0013000000u4EWa,Closed Lost,United States,TX,License,,9/28/2012,0,Q3-2012,333,10/31/2011
0063000000pRUbr,0013000000u5B06,Closed Lost,United States,TX,License,Trade Show,9/21/2012,0,Q3-2012,260,1/5/2012
0063000000oaPYK,0013000000u5B06,Closed Won,United States,TX,License,Trade Show,12/29/2011,100,Q4-2011,55,11/4/2011
0063000000zFu4X,0013000000xVtu6,Closed Lost,,MN,License,Small Event,8/30/2016,0,Q3-2016,757,8/4/2014
0063000000qtsNq,0013000000xVxJf,Qualify,Switzerland,NY,License,Trade Show,12/31/2016,20,Q4-2016,1454,2/17/2012
0063000000q0wBB,0013000000ynnnx,Closed Lost,United States,FL,License,Web,8/13/2012,0,Q3-2012,209,1/17/2012
0063000000q2mHI,001300000103wRs,Closed Lost,United States,NV,License,,9/28/2012,0,Q3-2012,242,1/30/2012
0063000000q1i0G,001300000103wbf,Closed Won,United States,WA,License,Bing Natural Search,11/21/2012,100,Q4-2012,303,1/23/2012
00630000013Dn2Q,001300000103wbf,Qualify,United States,WA,Service,Existing Account,3/24/2016,30,Q1-2016,23,1/18/2016
0063000000uvvkn,001300000103wbf,Closed Won,United States,WA,License,Existing Account,12/17/2012,100,Q4-2012,6,12/11/2012
0063000000uvT10,001300000103wbf,Closed Won,United States,WA,License,Existing Account,12/11/2013,100,Q4-2013,385,11/21/2012
00630000010PHcK,001300000103wbf,Closed Won,United States,WA,License & Service,Existing Account,7/31/2015,100,Q3-2015,74,5/18/2015
00630000010Mmuw,001300000103wbf,Prove / POC,United States,WA,License,Existing Account,6/30/2016,40,Q2-2016,366,2/9/2015
0063000000yUJoM,001300000103wbf,Closed Won,United States,WA,License,Existing Account,12/16/2014,100,Q4-2014,256,4/4/2014
0063000000q1y7A,001300000104Qyc,Closed Lost,United States,TX,License,,8/20/2012,0,Q3-2012,208,1/25/2012
0063000000quJeS,001300000104Qyc,Closed Lost,United States,TX,License,,9/21/2012,0,Q3-2012,213,2/21/2012
0063000000q2ltF,001300000106E9z,Closed Lost,United States,NJ,License,discoverorg,12/31/2015,0,Q4-2015,1431,1/30/2012
00630000010Ol0y,001300000106E9z,Closed Lost,United States,NJ,License,Google Ad,6/30/2015,0,Q2-2015,67,4/24/2015
0063000000zjArA,001300000106RYx,Closed Won,United States,CA,Service,Existing Account,2/20/2015,100,Q1-2015,81,12/1/2014
00630000013DUxq,001300000106RYx,Closed Won,United States,CA,License,Existing Account,1/12/2016,100,Q1-2016,8,1/4/2016
0063000000yVsTf,001300000106RYx,Closed Won,United States,CA,Service,Existing Account,6/8/2015,100,Q2-2015,402,5/2/2014
00630000013Dmts,001300000106RYx,Prove / POC,United States,CA,License,Existing Account,12/18/2016,60,Q4-2016,23,1/18/2016
0063000000vlYhL,001300000106RYx,Closed Won,United States,CA,License,Employee Referral,4/22/2013,100,Q2-2013,75,2/6/2013
0063000000vlYha,001300000106RYx,Closed Won,United States,CA,License,Employee Referral,11/29/2013,100,Q4-2013,296,2/6/2013
0063000000wiYfx,001300000106RYx,Prove / POC,United States,CA,License,Existing Account,12/18/2015,40,Q4-2015,939,7/16/2013
0063000000xkmwM,001300000106RYx,Closed Won,United States,CA,Service,Existing Account,3/21/2014,100,Q1-2014,53,1/27/2014
0063000000qtKUv,001300000106RYx,Closed Lost,United States,CA,Service,,9/28/2012,0,Q3-2012,227,2/14/2012
0063000000uvaee,001300000117Kl9,Closed Won,United States,RI,License,discoverorg,7/1/2013,100,Q3-2013,215,11/28/2012
0063000000qtKNs,001300000117Kl9,Closed Lost,United States,RI,License,discoverorg,12/25/2020,0,Q4-2020,3237,2/14/2012
0063000000quImQ,00130000011kXvM,Closed Lost,United States,TN,License,discoverorg,12/25/2012,0,Q4-2012,308,2/21/2012
0063000000quIvi,00130000011kY4g,Closed Lost,United States,TN,License,Web,9/24/2013,0,Q3-2013,581,2/21/2012
0063000000utcGM,00130000011kY4g,Closed Lost,United States,TN,License,Web,12/11/2013,0,Q4-2013,450,9/17/2012
0063000000zDc6p,001300000136YZw,Closed Lost,United States,NY,License,Partner,12/31/2015,0,Q4-2015,554,6/25/2014
0063000000vm1zT,001300000136YZw,Closed Lost,United States,NY,License,Rainking,12/25/2020,0,Q4-2020,2855,3/2/2013
0063000000rWRR8,001300000136YZw,Closed Won,United States,NY,License,Rainking,10/18/2013,100,Q4-2013,585,3/12/2012
0063000000rX9ra,001300000137yEZ,Closed Lost,United States,TX,License,In House List,12/25/2020,0,Q4-2020,3207,3/15/2012
0063000000rY7Bi,0013000001399kZ,Closed Lost,United States,DC,License,,12/28/2012,0,Q4-2012,282,3/21/2012
0063000000rvQOd,001300000148KXD,Closed Lost,,CA,License,,12/14/2012,0,Q4-2012,255,4/3/2012
0063000000u9bqj,001300000149seg,Closed Lost,United States,MA,License,Google Natural Search,5/10/2013,0,Q2-2013,312,7/2/2012
0063000000rwfsc,001300000149seg,Closed Won,United States,MA,License,Google Natural Search,5/11/2012,100,Q2-2012,29,4/12/2012
0063000000sayny,00130000015ZTas,Closed Lost,United States,CA,License,Google Natural Search,12/25/2020,0,Q4-2020,3160,5/1/2012
0063000000sbPK2,00130000015ZudI,Closed Lost,United States,MN,Service,,9/30/2012,0,Q3-2012,150,5/3/2012
0063000000sbXjJ,00130000015a4f4,Closed Lost,,,License,In House List,12/25/2020,0,Q4-2020,3157,5/4/2012
00630000013ETqt,00130000015a4f4,Interest,,,,,3/31/2016,5,Q1-2016,1,2/9/2016
